estado,nombre_oficial,capital,ciudad_mas_grande,area,poblacion_2020,num_de_municipios,lugar,fecha_de_admision
Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,"005615.75,615.7 km2 (2,168.2 sq mi)","014256071,425,607",11,24.0,1857-02-05
Baja California,Baja California,Mexicali,Tijuana,"071450.071,450.0 km2 (27,587.0 sq mi)","037690203,769,020",6,29.0,1952-01-16
Baja California Sur,Baja California Sur,La Paz,La Paz,"073909.473,909.4 km2 (28,536.6 sq mi)","00798447798,447",5,31.0,1974-10-08
Campeche,Campeche,San Francisco de Campeche,San Francisco de Campeche,"057484.957,484.9 km2 (22,195.0 sq mi)","00928363928,363",13,25.0,1863-04-29
Chiapas,Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez,"073311.073,311.0 km2 (28,305.5 sq mi)","055438285,543,828",124,19.0,1824-09-14
Chihuahua,Chihuahua,Chihuahua,Ciudad Juárez,"247412.6247,412.6 km2 (95,526.5 sq mi)","037418693,741,869",67,18.0,1824-07-06
Mexico City,Ciudad de México,,,"001494.31,494.3 km2 (577.0 sq mi)","092099449,209,944",16,32.0,1824-09-14
Coahuila1 4,Coahuila de Zaragoza,Saltillo,Saltillo,"151594.8151,594.8 km2 (58,531.1 sq mi)","031467713,146,771",38,16.0,1824-05-07
Colima6,Colima,Colima,Manzanillo,"005626.95,626.9 km2 (2,172.6 sq mi)","00731391731,391",10,23.0,1856-09-12
Durango,Durango,Victoria de Durango,Victoria de Durango,"123364.0123,364.0 km2 (47,631.1 sq mi)","018326501,832,650",39,17.0,1824-05-22
Guanajuato,Guanajuato,Guanajuato,León,"030606.730,606.7 km2 (11,817.3 sq mi)","061669346,166,934",46,2.0,1823-12-20
Guerrero,Guerrero,Chilpancingo,Acapulco,"063595.963,595.9 km2 (24,554.5 sq mi)","035406853,540,685",81,21.0,1849-10-27
Hidalgo,Hidalgo,Pachuca,Pachuca,"020821.420,821.4 km2 (8,039.2 sq mi)","030828413,082,841",84,26.0,1869-01-16
Jalisco,Jalisco,Guadalajara,Guadalajara,"078595.978,595.9 km2 (30,346.0 sq mi)","083481518,348,151",125,9.0,1823-12-23
México,México,Toluca de Lerdo,Ecatepec de Morelos,"022351.822,351.8 km2 (8,630.1 sq mi)","1699241816,992,418",125,1.0,1823-12-20
Michoacán,Michoacán de Ocampo,Morelia,Morelia,"058598.758,598.7 km2 (22,625.1 sq mi)","047488464,748,846",113,5.0,1823-12-22
Morelos,Morelos,Cuernavaca,Cuernavaca,"004878.94,878.9 km2 (1,883.8 sq mi)","019715201,971,520",36,27.0,1869-04-17
Nayarit,Nayarit,Tepic,Tepic,"027856.527,856.5 km2 (10,755.5 sq mi)","012354561,235,456",20,28.0,1917-01-26
Nuevo León4,Nuevo León,Monterrey,Monterrey,"064156.264,156.2 km2 (24,770.8 sq mi)","057844425,784,442",51,15.0,1824-05-07
Oaxaca,Oaxaca,Oaxaca,Oaxaca,"093757.693,757.6 km2 (36,200.0 sq mi)","041321484,132,148",570,3.0,1823-12-21
Puebla,Puebla,Puebla,Puebla,"034309.634,309.6 km2 (13,247.0 sq mi)","065832786,583,278",217,4.0,1823-12-21
Querétaro,Querétaro de Arteaga,Querétaro,Querétaro,"011690.611,690.6 km2 (4,513.8 sq mi)","023684672,368,467",18,11.0,1823-12-23
Quintana Roo,Quintana Roo,Chetumal,Cancún,"044705.244,705.2 km2 (17,260.8 sq mi)","018579851,857,985",11,30.0,1974-10-08
San Luis Potosí,San Luis Potosí,San Luis Potosí,San Luis Potosí,"061138.061,138.0 km2 (23,605.5 sq mi)","02,8222552,822,255",58,6.0,1823-12-22
Sinaloa,Sinaloa,Culiacán,Culiacán,"057365.457,365.4 km2 (22,148.9 sq mi)","030269433,026,943",18,20.0,1830-10-14
Sonora2,Sonora,Hermosillo,Hermosillo,"179354.7179,354.7 km2 (69,249.2 sq mi)","029448402,944,840",72,12.0,1824-01-10
Tabasco5,Tabasco,Villahermosa,Villahermosa,"024730.924,730.9 km2 (9,548.7 sq mi)","024025982,402,598",17,13.0,1824-02-07
Tamaulipas4,Tamaulipas,Ciudad Victoria,Reynosa,"080249.380,249.3 km2 (30,984.4 sq mi)","035277353,527,735",43,14.0,1824-02-07
Tlaxcala,Tlaxcala,Tlaxcala,San Pablo del Monte,"003996.63,996.6 km2 (1,543.1 sq mi)","013429771,342,977",60,22.0,1856-12-09
Veracruz,Veracruz deIgnacio de la Llave,Xalapa,Veracruz,"071823.571,823.5 km2 (27,731.2 sq mi)","080625798,062,579",212,7.0,1823-12-22
Yucatán3,Yucatán,Mérida,Mérida,"039524.439,524.4 km2 (15,260.5 sq mi)","023208982,320,898",106,8.0,1823-12-23
Zacatecas,Zacatecas,Zacatecas,Guadalupe,"075275.375,275.3 km2 (29,064.0 sq mi)","016221381,622,138",58,10.0,1823-12-23
